test_num,depth,board_moves,column_chosen_with_pruning,column_chosen_without_pruning,time_with_pruning,time_without_pruning,speedup_factor
1,2,17,2,2,0.024569034576416016,0.04175543785095215,1.6995147986414363
2,2,15,6,6,0.027062654495239258,0.026169300079345703,0.9669894017214494
3,2,15,4,4,0.020050525665283203,0.024895668029785156,1.2416466503365122
4,2,21,1,1,0.00962376594543457,0.02148914337158203,2.232924563359346
5,2,23,6,6,0.012103557586669922,0.019548416137695312,1.6150967182760114
6,2,16,4,4,0.014823675155639648,0.023506641387939453,1.5857498994772818
7,2,24,2,2,0.014557600021362305,0.023939132690429688,1.6444422607641789
8,2,18,3,3,0.015501260757446289,0.02097010612487793,1.3528000369134225
9,2,17,2,2,0.010532140731811523,0.0251767635345459,2.3904697226938314
10,2,18,2,2,0.01773214340209961,0.024733543395996094,1.394842283593729
11,2,9,1,1,0.018050193786621094,0.024436473846435547,1.353806731124848
12,2,21,2,2,0.014328479766845703,0.022921323776245117,1.5997038170987388
13,2,11,3,3,0.01775050163269043,0.023010730743408203,1.2963425608789674
14,2,24,2,2,0.01827263832092285,0.01901721954345703,1.040748424472541
15,2,11,1,1,0.010481834411621094,0.027780771255493164,2.650373032481121
1,4,10,3,3,0.3770582675933838,1.0782768726348877,2.859708870772439
2,4,23,1,1,0.13951945304870605,0.8510832786560059,6.100104752839691
3,4,23,2,2,0.1338348388671875,0.4535691738128662,3.389021705050735
4,4,16,3,3,0.41329360008239746,1.0969409942626953,2.6541446420752717
5,4,8,1,1,0.12424778938293457,1.1662874221801758,9.386786098750223
6,4,20,3,3,0.21288585662841797,0.5579705238342285,2.6209844687246613
7,4,6,5,5,0.6783874034881592,1.247337818145752,1.838680688544836
8,4,18,0,0,0.06897711753845215,0.6514933109283447,9.445064307959255
9,4,19,3,3,0.2867298126220703,1.113724946975708,3.884231419087468
10,4,18,5,5,0.3496828079223633,1.1452102661132812,3.2749973409260122
11,4,11,5,5,0.3357574939727783,1.150904655456543,3.4277854586020142
12,4,10,3,3,0.12532901763916016,1.1619057655334473,9.270843954739494
13,4,10,1,1,0.2977621555328369,1.2617888450622559,4.237572913872552
14,4,22,5,5,0.2548513412475586,0.666985034942627,2.617153324277498
15,4,18,0,0,0.1294257640838623,1.0817372798919678,8.357974840241614
1,5,22,3,3,0.22300958633422852,1.603602647781372,7.19073414798422
2,5,15,2,2,2.7763798236846924,7.980484247207642,2.874420920051308
3,5,25,4,4,0.1677098274230957,0.513660192489624,3.062791253095564
4,5,9,2,2,0.7190871238708496,7.985553503036499,11.10512653884028
5,5,24,0,0,0.534991979598999,3.6040215492248535,6.7365898679943435
6,5,7,3,3,0.6551303863525391,7.974345922470093,12.172150900933687
7,5,5,1,1,1.0019254684448242,8.017457246780396,8.00204955287242
8,5,8,3,3,0.7118759155273438,7.8380444049835205,11.010408182129957
9,5,25,4,4,0.7479171752929688,2.971224784851074,3.9726655343717803
10,5,25,2,2,1.1429271697998047,5.943726062774658,5.200441655276917
11,5,10,2,2,0.6754443645477295,7.049700975418091,10.437130495771472
12,5,7,2,2,1.4952750205993652,7.8167619705200195,5.227641646408801
13,5,7,3,3,0.80007004737854,8.294046878814697,10.366650902618412
14,5,8,5,5,1.7607753276824951,8.484880447387695,4.818831973614352
15,5,8,2,2,1.6301445960998535,8.824097871780396,5.413076786496234
